"Dates","OpenFrom","OpenTo"
2015-04-21,"09:00:00","19:00:00"
2015-04-22,"09:00:00","19:00:00"
2015-04-23,"09:00:00","19:00:00"
2015-04-24,"09:00:00","19:00:00"
2015-04-25,"09:00:00","18:00:00"
2015-04-26,"00:00:00","00:00:00"
2015-04-27,"09:00:00","19:00:00"
2015-04-28,"09:00:00","19:00:00"
2015-04-29,"09:00:00","19:00:00"
2015-04-30,"09:00:00","19:00:00"
2015-05-01,"09:00:00","19:00:00"
2015-05-02,"09:00:00","18:00:00"
2015-05-03,"00:00:00","00:00:00"
2015-05-04,"09:00:00","19:00:00"
2015-05-05,"09:00:00","19:00:00"
2015-05-06,"09:00:00","19:00:00"
2015-05-07,"09:00:00","19:00:00"
2015-05-08,"09:00:00","19:00:00"
2015-05-09,"09:00:00","18:00:00"
2015-05-10,"00:00:00","00:00:00"
2015-05-11,"09:00:00","19:00:00"
2015-05-12,"09:00:00","19:00:00"
2015-05-13,"09:00:00","19:00:00"
2015-05-14,"09:00:00","19:00:00"
2015-05-15,"09:00:00","19:00:00"
2015-05-16,"09:00:00","18:00:00"
2015-05-17,"00:00:00","00:00:00"
2015-05-18,"09:00:00","19:00:00"
2015-05-19,"09:00:00","19:00:00"
2015-05-20,"09:00:00","19:00:00"
2015-05-21,"09:00:00","19:00:00"
2015-05-22,"09:00:00","19:00:00"
2015-05-23,"09:00:00","18:00:00"
2015-05-24,"00:00:00","00:00:00"
2015-05-25,"09:00:00","19:00:00"
2015-05-26,"09:00:00","19:00:00"
2015-05-27,"09:00:00","19:00:00"
2015-05-28,"09:00:00","19:00:00"
2015-05-29,"09:00:00","19:00:00"
2015-05-30,"09:00:00","18:00:00"
2015-05-31,"00:00:00","00:00:00"
2015-06-01,"09:00:00","19:00:00"
2015-06-02,"09:00:00","19:00:00"
2015-06-03,"09:00:00","19:00:00"
2015-06-04,"09:00:00","19:00:00"
2015-06-05,"09:00:00","19:00:00"
2015-06-06,"09:00:00","18:00:00"
2015-06-07,"00:00:00","00:00:00"
2015-06-08,"09:00:00","19:00:00"
2015-06-09,"09:00:00","19:00:00"
2015-06-10,"09:00:00","19:00:00"
2015-06-11,"09:00:00","19:00:00"
2015-06-12,"09:00:00","19:00:00"
2015-06-13,"09:00:00","18:00:00"
2015-06-14,"00:00:00","00:00:00"
2015-06-15,"09:00:00","19:00:00"
2015-06-16,"09:00:00","19:00:00"
2015-06-17,"09:00:00","19:00:00"
2015-06-18,"09:00:00","19:00:00"
2015-06-19,"09:00:00","19:00:00"
2015-06-20,"09:00:00","18:00:00"
2015-06-21,"00:00:00","00:00:00"
2015-06-22,"09:00:00","19:00:00"
2015-06-23,"09:00:00","19:00:00"
2015-06-24,"09:00:00","19:00:00"
2015-06-25,"09:00:00","19:00:00"
2015-06-26,"09:00:00","19:00:00"
2015-06-27,"09:00:00","18:00:00"
2015-06-28,"00:00:00","00:00:00"
2015-06-29,"09:00:00","19:00:00"
2015-06-30,"09:00:00","19:00:00"
2015-07-01,"09:00:00","19:00:00"
2015-07-02,"09:00:00","19:00:00"
2015-07-03,"09:00:00","19:00:00"
2015-07-04,"09:00:00","18:00:00"
2015-07-05,"00:00:00","00:00:00"
2015-07-06,"09:00:00","19:00:00"
2015-07-07,"09:00:00","19:00:00"
2015-07-08,"09:00:00","19:00:00"
2015-07-09,"09:00:00","19:00:00"
2015-07-10,"09:00:00","19:00:00"
2015-07-11,"09:00:00","18:00:00"
2015-07-12,"00:00:00","00:00:00"
2015-07-13,"09:00:00","19:00:00"
2015-07-14,"09:00:00","19:00:00"
2015-07-15,"09:00:00","19:00:00"
2015-07-16,"09:00:00","19:00:00"
2015-07-17,"09:00:00","19:00:00"
2015-07-18,"09:00:00","18:00:00"
2015-07-19,"00:00:00","00:00:00"
2015-07-20,"09:00:00","19:00:00"
2015-07-21,"09:00:00","19:00:00"
2015-07-22,"09:00:00","19:00:00"
2015-07-23,"09:00:00","19:00:00"
2015-07-24,"09:00:00","19:00:00"
2015-07-25,"09:00:00","18:00:00"
2015-07-26,"00:00:00","00:00:00"
2015-07-27,"09:00:00","19:00:00"
2015-07-28,"09:00:00","19:00:00"
2015-07-29,"09:00:00","19:00:00"
2015-07-30,"09:00:00","19:00:00"
2015-07-31,"09:00:00","19:00:00"
2015-08-01,"09:00:00","18:00:00"
2015-08-02,"00:00:00","00:00:00"
2015-08-03,"09:00:00","19:00:00"
2015-08-04,"09:00:00","19:00:00"
2015-08-05,"09:00:00","19:00:00"
2015-08-06,"09:00:00","19:00:00"
2015-08-07,"09:00:00","19:00:00"
2015-08-08,"09:00:00","18:00:00"
2015-08-09,"00:00:00","00:00:00"
2015-08-10,"09:00:00","19:00:00"
2015-08-11,"09:00:00","19:00:00"
2015-08-12,"09:00:00","19:00:00"
2015-08-13,"09:00:00","19:00:00"
2015-08-14,"09:00:00","19:00:00"
2015-08-15,"09:00:00","18:00:00"
2015-08-16,"00:00:00","00:00:00"
2015-08-17,"09:00:00","19:00:00"
2015-08-18,"09:00:00","19:00:00"
2015-08-19,"09:00:00","19:00:00"
2015-08-20,"09:00:00","19:00:00"
2015-08-21,"09:00:00","19:00:00"
2015-08-22,"09:00:00","18:00:00"
2015-08-23,"00:00:00","00:00:00"
